sample_id,task,cycle,layer,head,shared_mass,own_mass,own_shared_overlap,gain
synthetic_niah_86,niah_single_1,0,20,7,0.99965903125691,0.9999223914428041,0.5909090909090909,0.0002633601858941237
synthetic_niah_86,niah_single_1,0,21,0,0.9845734225102794,0.9917821421834706,0.4863636363636364,0.007208719673191255
synthetic_niah_86,niah_single_1,0,21,1,0.9937219656593717,0.9952818082075632,0.759090909090909,0.0015598425481915257
synthetic_niah_86,niah_single_1,0,21,2,0.997023419563583,0.9987882392753755,0.6545454545454545,0.0017648197117925424
synthetic_niah_86,niah_single_1,0,21,3,0.9835398388578077,0.9899013486957916,0.6181818181818182,0.006361509837983892
synthetic_niah_86,niah_single_1,0,21,4,0.9864956352080351,0.9908713987505828,0.7863636363636364,0.0043757635425477615
synthetic_niah_86,niah_single_1,0,21,5,0.9787294733882643,0.9835233937651183,0.7681818181818182,0.0047939203768539995
synthetic_niah_86,niah_single_1,0,21,6,0.9951368856533924,0.9966922868223741,0.7681818181818182,0.0015554011689816738
synthetic_niah_86,niah_single_1,0,21,7,0.9974819731673721,0.9980026086670652,0.8,0.0005206354996931672
synthetic_niah_86,niah_single_1,0,22,0,0.9844430751220672,0.9866322723610452,0.8545454545454545,0.0021891972389780356
synthetic_niah_86,niah_single_1,0,22,1,0.9955167397318772,0.99713836064543,0.740909090909091,0.0016216209135528903
synthetic_niah_86,niah_single_1,0,22,2,0.9906047718929136,0.9954652691806875,0.5545454545454546,0.004860497287773824
synthetic_niah_86,niah_single_1,0,22,3,0.9963448067031192,0.9973592758301166,0.8136363636363636,0.0010144691269974304
synthetic_niah_86,niah_single_1,0,22,4,0.9892736761671296,0.9913778418640974,0.7772727272727272,0.002104165696967808
synthetic_niah_86,niah_single_1,0,22,5,0.9863369649709328,0.9925541541372909,0.6545454545454545,0.00621718916635805
synthetic_niah_86,niah_single_1,0,22,6,0.9961647380920592,0.9974556811029244,0.65,0.0012909430108651865
synthetic_niah_86,niah_single_1,0,22,7,0.9953190571914158,0.9973494133256241,0.7136363636363636,0.002030356134208322
synthetic_niah_86,niah_single_1,0,23,0,0.9890717878890604,0.9947251785887476,0.5227272727272727,0.0056533906996872885
synthetic_niah_86,niah_single_1,0,23,1,0.9872988756517866,0.9935096425843988,0.6272727272727273,0.006210766932612133
synthetic_niah_86,niah_single_1,0,23,2,0.9882076967227127,0.9917003622269907,0.7227272727272728,0.0034926655042779586
synthetic_niah_86,niah_single_1,0,23,3,0.9949489383970355,0.9975426638998193,0.6772727272727272,0.0025937255027838058
synthetic_niah_86,niah_single_1,0,23,4,0.9948164707525661,0.9960640827307783,0.6954545454545454,0.0012476119782122153
synthetic_niah_86,niah_single_1,0,23,5,0.9860821602413352,0.9901716817388078,0.7136363636363636,0.004089521497472548
synthetic_niah_86,niah_single_1,0,23,6,0.9617256787668881,0.9675325495797746,0.7272727272727273,0.005806870812886555
synthetic_niah_86,niah_single_1,0,23,7,0.9720258272051716,0.977802707990195,0.7863636363636364,0.005776880785023364
synthetic_niah_86,niah_single_1,0,24,0,0.9973396258857603,0.9981948591456641,0.75,0.000855233259903776
synthetic_niah_86,niah_single_1,0,24,1,0.9860266458170898,0.9913540995954174,0.6772727272727272,0.005327453778327662
synthetic_niah_86,niah_single_1,0,24,2,0.9793588124874639,0.9835536732084799,0.7863636363636364,0.004194860721015936
synthetic_niah_86,niah_single_1,0,24,3,0.9869138216845552,0.9917605095004051,0.7772727272727272,0.004846687815849848
synthetic_niah_86,niah_single_1,0,24,4,0.99555714847679,0.9981111290899211,0.7,0.002553980613131057
synthetic_niah_86,niah_single_1,0,24,5,0.9908894900189688,0.995432677714201,0.5681818181818182,0.004543187695232209
synthetic_niah_86,niah_single_1,0,24,6,0.9811077874329769,0.9882699464241336,0.6727272727272727,0.007162158991156686
synthetic_niah_86,niah_single_1,0,24,7,0.9657935803893882,0.9728626287896339,0.7454545454545455,0.007069048400245692
synthetic_niah_86,niah_single_1,0,25,0,0.9995898895991905,0.9998034284153536,0.6318181818181818,0.00021353881616315018
synthetic_niah_86,niah_single_1,0,25,1,0.9930036663905127,0.9954626042065216,0.6545454545454545,0.0024589378160088105
